Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (1 t);Lufttemperatur
Slettnes Fyr;SN96400;01.01.2024 01:00;10,3;-7,2
Slettnes Fyr;SN96400;01.01.2024 02:00;9,9;-6,9
Slettnes Fyr;SN96400;01.01.2024 03:00;8,1;-8,8
Slettnes Fyr;SN96400;01.01.2024 04:00;8,9;-8,6
Slettnes Fyr;SN96400;01.01.2024 05:00;8,3;-7,6
Slettnes Fyr;SN96400;01.01.2024 06:00;7,8;-7,4
Slettnes Fyr;SN96400;01.01.2024 07:00;7;-9,4
Slettnes Fyr;SN96400;01.01.2024 08:00;9,6;-8,3
Slettnes Fyr;SN96400;01.01.2024 09:00;11,6;-7,6
Slettnes Fyr;SN96400;01.01.2024 10:00;11,5;-8,1
Slettnes Fyr;SN96400;01.01.2024 11:00;11,2;-8,2
Slettnes Fyr;SN96400;01.01.2024 12:00;11,3;-8,5
Slettnes Fyr;SN96400;01.01.2024 13:00;13,9;-7,1
Slettnes Fyr;SN96400;01.01.2024 14:00;12;-6,8
Slettnes Fyr;SN96400;01.01.2024 15:00;14,9;-6,9
Slettnes Fyr;SN96400;01.01.2024 16:00;16,9;-6,8
Slettnes Fyr;SN96400;01.01.2024 17:00;13,4;-5
Slettnes Fyr;SN96400;01.01.2024 18:00;13;-5,3
Slettnes Fyr;SN96400;01.01.2024 19:00;13,3;-3,9
Slettnes Fyr;SN96400;01.01.2024 20:00;13,1;-3,8
Slettnes Fyr;SN96400;01.01.2024 21:00;13;-3,5
Slettnes Fyr;SN96400;01.01.2024 22:00;14,3;-3,7
Slettnes Fyr;SN96400;01.01.2024 23:00;14;-3,4
Slettnes Fyr;SN96400;02.01.2024 00:00;14;-3,8
Slettnes Fyr;SN96400;02.01.2024 01:00;15,6;-3,8
Slettnes Fyr;SN96400;02.01.2024 02:00;14,2;-3,6
Slettnes Fyr;SN96400;02.01.2024 03:00;14,3;-3,6
Slettnes Fyr;SN96400;02.01.2024 04:00;13,6;-3,5
Slettnes Fyr;SN96400;02.01.2024 05:00;15,3;-2,7
Slettnes Fyr;SN96400;02.01.2024 06:00;14,3;-2,6
Slettnes Fyr;SN96400;02.01.2024 07:00;14,4;-2,3
Slettnes Fyr;SN96400;02.01.2024 08:00;13,4;-2,5
Slettnes Fyr;SN96400;02.01.2024 09:00;11,2;-2,6
Slettnes Fyr;SN96400;02.01.2024 10:00;12,3;-1,4
Slettnes Fyr;SN96400;02.01.2024 11:00;12,5;-1,4
Slettnes Fyr;SN96400;02.01.2024 12:00;11,6;-2,1
Slettnes Fyr;SN96400;02.01.2024 13:00;12,6;-2,1
Slettnes Fyr;SN96400;02.01.2024 14:00;11,8;-2,3
Slettnes Fyr;SN96400;02.01.2024 15:00;11,9;-2,6
Slettnes Fyr;SN96400;02.01.2024 16:00;12,3;-3,4
Slettnes Fyr;SN96400;02.01.2024 17:00;12,4;-3,4
Slettnes Fyr;SN96400;02.01.2024 18:00;12,1;-3,7
Slettnes Fyr;SN96400;02.01.2024 19:00;10;-5
Slettnes Fyr;SN96400;02.01.2024 20:00;10,7;-4,9
Slettnes Fyr;SN96400;02.01.2024 21:00;11,4;-4,3
Slettnes Fyr;SN96400;02.01.2024 22:00;11,2;-4,6
Slettnes Fyr;SN96400;02.01.2024 23:00;12,1;-4
Slettnes Fyr;SN96400;03.01.2024 00:00;12,8;-4
Slettnes Fyr;SN96400;03.01.2024 01:00;11,5;-3
Slettnes Fyr;SN96400;03.01.2024 02:00;11,9;-3,6
Slettnes Fyr;SN96400;03.01.2024 03:00;11,2;-3,8
Slettnes Fyr;SN96400;03.01.2024 04:00;11,3;-3,3
Slettnes Fyr;SN96400;03.01.2024 05:00;10,5;-4
Slettnes Fyr;SN96400;03.01.2024 06:00;10,8;-3,3
Slettnes Fyr;SN96400;03.01.2024 07:00;10,4;-4
Slettnes Fyr;SN96400;03.01.2024 08:00;10,8;-3,2
Slettnes Fyr;SN96400;03.01.2024 09:00;10,3;-3,3
Slettnes Fyr;SN96400;03.01.2024 10:00;11;-3,2
Slettnes Fyr;SN96400;03.01.2024 11:00;12,6;-3,7
Slettnes Fyr;SN96400;03.01.2024 12:00;13,5;-2,5
Slettnes Fyr;SN96400;03.01.2024 13:00;13,3;-2,1
Slettnes Fyr;SN96400;03.01.2024 14:00;15,6;-1,6
Slettnes Fyr;SN96400;03.01.2024 15:00;15,7;-1,3
Slettnes Fyr;SN96400;03.01.2024 16:00;15,3;-0,4
Slettnes Fyr;SN96400;03.01.2024 17:00;15,6;-0,4
Slettnes Fyr;SN96400;03.01.2024 18:00;17,1;-0,8
Slettnes Fyr;SN96400;03.01.2024 19:00;16,8;-0,2
Slettnes Fyr;SN96400;03.01.2024 20:00;16,5;-0,6
Slettnes Fyr;SN96400;03.01.2024 21:00;17,6;0,1
Slettnes Fyr;SN96400;03.01.2024 22:00;17,9;-0,3
Slettnes Fyr;SN96400;03.01.2024 23:00;14,7;0,6
Slettnes Fyr;SN96400;04.01.2024 00:00;15,5;-0,3
Slettnes Fyr;SN96400;04.01.2024 01:00;16,4;-0,2
Slettnes Fyr;SN96400;04.01.2024 02:00;15,7;-0,3
Slettnes Fyr;SN96400;04.01.2024 03:00;15,6;-0,7
Slettnes Fyr;SN96400;04.01.2024 04:00;14,4;-0,2
Slettnes Fyr;SN96400;04.01.2024 05:00;13,5;-0,2
Slettnes Fyr;SN96400;04.01.2024 06:00;11,9;-0,1
Slettnes Fyr;SN96400;04.01.2024 07:00;10,4;0,4
Slettnes Fyr;SN96400;04.01.2024 08:00;12,3;-0,7
Slettnes Fyr;SN96400;04.01.2024 09:00;15,6;-1,7
Slettnes Fyr;SN96400;04.01.2024 10:00;15,8;-2,3
Slettnes Fyr;SN96400;04.01.2024 11:00;16;-2,7
Slettnes Fyr;SN96400;04.01.2024 12:00;15,1;-2,7
Slettnes Fyr;SN96400;04.01.2024 13:00;13,3;-3,3
Slettnes Fyr;SN96400;04.01.2024 14:00;11,6;-3,5
Slettnes Fyr;SN96400;04.01.2024 15:00;13,4;-2,3
Slettnes Fyr;SN96400;04.01.2024 16:00;13,1;-2,6
Slettnes Fyr;SN96400;04.01.2024 17:00;14,4;-2,6
Slettnes Fyr;SN96400;04.01.2024 18:00;14,2;-2
Slettnes Fyr;SN96400;04.01.2024 19:00;13,3;-2,7
Slettnes Fyr;SN96400;04.01.2024 20:00;14,8;-2,1
Slettnes Fyr;SN96400;04.01.2024 21:00;17,2;-1
Slettnes Fyr;SN96400;04.01.2024 22:00;17,2;-1,6
Slettnes Fyr;SN96400;04.01.2024 23:00;16,2;-1,7
Slettnes Fyr;SN96400;05.01.2024 00:00;15,4;-2,1
