Navn;Stasjon;Tid(norsk normaltid);Nedbør (10 min);Lufttemperatur
Trondheim - Granåsen;SN68090;05.03.2025 01:00;0,1;3,1
Trondheim - Granåsen;SN68090;05.03.2025 01:10;0,3;3
Trondheim - Granåsen;SN68090;05.03.2025 01:20;0,2;3,2
Trondheim - Granåsen;SN68090;05.03.2025 01:30;0,1;3
Trondheim - Granåsen;SN68090;05.03.2025 01:40;0,4;2,9
Trondheim - Granåsen;SN68090;05.03.2025 01:50;0,2;2,5
Trondheim - Granåsen;SN68090;05.03.2025 02:00;0;2,5
Trondheim - Granåsen;SN68090;05.03.2025 02:10;0;2,6
Trondheim - Granåsen;SN68090;05.03.2025 02:20;0,2;2,5
Trondheim - Granåsen;SN68090;05.03.2025 02:30;0,3;2,2
Trondheim - Granåsen;SN68090;05.03.2025 02:40;0,1;1,9
Trondheim - Granåsen;SN68090;05.03.2025 02:50;0,1;1,8
Trondheim - Granåsen;SN68090;05.03.2025 03:00;0;2,1
Trondheim - Granåsen;SN68090;05.03.2025 03:10;0;2,3
Trondheim - Granåsen;SN68090;05.03.2025 03:20;0;2,1
Trondheim - Granåsen;SN68090;05.03.2025 03:30;0;2,3
Trondheim - Granåsen;SN68090;05.03.2025 03:40;0;2,2
Trondheim - Granåsen;SN68090;05.03.2025 03:50;0;2,2
Trondheim - Granåsen;SN68090;05.03.2025 04:00;0;2,3
Trondheim - Granåsen;SN68090;05.03.2025 04:10;0;2,3
Trondheim - Granåsen;SN68090;05.03.2025 04:20;0;2,3
Trondheim - Granåsen;SN68090;05.03.2025 04:30;0,1;2,2
Trondheim - Granåsen;SN68090;05.03.2025 04:40;0,1;2
Trondheim - Granåsen;SN68090;05.03.2025 04:50;0;1,9
Trondheim - Granåsen;SN68090;05.03.2025 05:00;0;1,6
Trondheim - Granåsen;SN68090;05.03.2025 05:10;0;1,6
Trondheim - Granåsen;SN68090;05.03.2025 05:20;0;1,8
Trondheim - Granåsen;SN68090;05.03.2025 05:30;0;1,6
Trondheim - Granåsen;SN68090;05.03.2025 05:40;0;1
Trondheim - Granåsen;SN68090;05.03.2025 05:50;0;0,9
Trondheim - Granåsen;SN68090;05.03.2025 06:00;0;1
Trondheim - Granåsen;SN68090;05.03.2025 06:10;0;1,2
Trondheim - Granåsen;SN68090;05.03.2025 06:20;0;1,2
Trondheim - Granåsen;SN68090;05.03.2025 06:30;0;1,3
Trondheim - Granåsen;SN68090;05.03.2025 06:40;0;1,3
Trondheim - Granåsen;SN68090;05.03.2025 06:50;0;1,5
Trondheim - Granåsen;SN68090;05.03.2025 07:00;0;1,6
Trondheim - Granåsen;SN68090;05.03.2025 07:10;0;1,7
Trondheim - Granåsen;SN68090;05.03.2025 07:20;0;1,8
Trondheim - Granåsen;SN68090;05.03.2025 07:30;0;1,8
Trondheim - Granåsen;SN68090;05.03.2025 07:40;0,1;1,8
Trondheim - Granåsen;SN68090;05.03.2025 07:50;0,1;1,8
Trondheim - Granåsen;SN68090;05.03.2025 08:00;0,1;1,9
Trondheim - Granåsen;SN68090;05.03.2025 08:10;0,1;1,9
Trondheim - Granåsen;SN68090;05.03.2025 08:20;0,1;1,8
Trondheim - Granåsen;SN68090;05.03.2025 08:30;0,1;1,7
Trondheim - Granåsen;SN68090;05.03.2025 08:40;0,1;1,6
Trondheim - Granåsen;SN68090;05.03.2025 08:50;0,1;1,5
Trondheim - Granåsen;SN68090;05.03.2025 09:00;0,1;1,5
Trondheim - Granåsen;SN68090;05.03.2025 09:10;0,1;1,5
Trondheim - Granåsen;SN68090;05.03.2025 09:20;0,1;1,4
Trondheim - Granåsen;SN68090;05.03.2025 09:30;0;1,3
Trondheim - Granåsen;SN68090;05.03.2025 09:40;0,1;1,3
Trondheim - Granåsen;SN68090;05.03.2025 09:50;0,1;1,2
Trondheim - Granåsen;SN68090;05.03.2025 10:00;0,1;1,3
Trondheim - Granåsen;SN68090;05.03.2025 10:10;0,2;1,2
Trondheim - Granåsen;SN68090;05.03.2025 10:20;0,3;1
Trondheim - Granåsen;SN68090;05.03.2025 10:30;0,3;0,9
Trondheim - Granåsen;SN68090;05.03.2025 10:40;0,2;1,1
Trondheim - Granåsen;SN68090;05.03.2025 10:50;0,1;1,3
Trondheim - Granåsen;SN68090;05.03.2025 11:00;0,2;1,4
Trondheim - Granåsen;SN68090;05.03.2025 11:10;0,2;1,2
Trondheim - Granåsen;SN68090;05.03.2025 11:20;0,2;1,1
Trondheim - Granåsen;SN68090;05.03.2025 11:30;0,1;1,2
